,name,hand,height,rang,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt
286,nikolay davydenko,R,178.0,41.0,52.0,28.0,0.39817897778940675,0.2762835710369155,0.41219304200073437,0.6035412645423959,0.7565913572284136,0.6971195223337153,81.07692307692308,0.6145131291367919
288,albert montanes,R,175.0,53.0,23.0,7.0,0.36383856164133876,0.224903116207464,0.4576220880568707,0.46719108186499486,0.6125090453734954,0.6153978886462157,71.34782608695652,0.5532319465927916
289,david nalbandian,R,180.0,64.0,36.0,20.0,0.3938773434212277,0.27477085635047094,0.4229734000567334,0.5616623345790014,0.7853176530259864,0.5814778105756347,49.166666666666664,0.6315044296327206
290,james blake,R,185.0,59.0,18.0,6.0,0.34928921931265433,0.21166571002097317,0.438613315696649,0.47510788956867384,0.6893267307740991,0.5671756354650133,42.611111111111114,0.6034710797156079
292,michael llodra,L,190.0,47.0,26.0,12.0,0.32620943059657814,0.10847015042061482,0.2759324009324009,0.5059789569404954,0.8134269522055303,0.6350699760974003,51.11538461538461,0.6558834659000067
297,jarkko nieminen,L,185.0,77.0,52.0,24.0,0.36989742869850384,0.24537043053728572,0.3856651361459053,0.4875069375069376,0.7371859444800919,0.6769741319226176,81.17307692307692,0.6047278514711606
298,feliciano lopez,L,188.0,20.0,54.0,26.0,0.32337383692619376,0.151157674853327,0.35262475058226694,0.638662901489699,0.8239694191960462,0.5684460758921459,66.11111111111111,0.6539899200545404
307,jurgen melzer,L,183.0,33.0,44.0,20.0,0.34663681547033703,0.1925263309922401,0.4270550787596241,0.5142947330447329,0.7480779974952841,0.6281580673905237,69.56818181818181,0.6231769455324081
309,david ferrer,R,175.0,5.0,88.0,72.0,0.42477653763881684,0.33305370151852054,0.466359907702611,0.5656905909746818,0.8542180497661126,0.6362929665302031,67.44318181818181,0.6778068981772595
313,radek stepanek,R,185.0,28.0,45.0,22.0,0.3912465652615145,0.24945618470128275,0.3971372454705788,0.5644606392155412,0.804738494983593,0.6181821587762291,50.4,0.6442704405614249
315,mardy fish,R,188.0,8.0,31.0,20.0,0.39814728814797645,0.26584717464698493,0.4963856694644171,0.6412884606432994,0.8447834490214723,0.5215378652892972,68.7741935483871,0.6706884316167214
326,rafael nadal,L,185.0,2.0,48.0,42.0,0.45968162813234037,0.4126773323127489,0.5104638893241836,0.6365270146520148,0.8932871828869634,0.6741830121918108,50.104166666666664,0.7024582540113976
327,filippo volandri,R,183.0,69.0,32.0,11.0,0.3845110960543217,0.26927170052170046,0.429457455330617,0.540497370276782,0.6617289624183005,0.7136995327540742,100.90625,0.575323108697821
329,victor hanescu,R,198.0,90.0,17.0,5.0,0.3491688309845453,0.17080837119536807,0.33033273915626854,0.5234317969612088,0.723349818396258,0.7238524923272918,57.11764705882353,0.5948720905603433
331,ivo karlovic,R,208.0,56.0,29.0,13.0,0.30347848705375274,0.11691227692748993,0.25628700801114596,0.609537493158183,0.8701452001908393,0.6449119782389418,75.72413793103448,0.6946665373620318
333,richard gasquet,R,185.0,19.0,69.0,47.0,0.39175075657799296,0.2807407982280105,0.4232640377628146,0.5677004841327092,0.8438383677514107,0.6292846087959059,64.5072463768116,0.6695136871503927
338,fernando verdasco,L,188.0,24.0,54.0,32.0,0.37999802442587266,0.26256826757856877,0.3744538383427273,0.5985641627798491,0.8139481340353297,0.6959103055545763,61.0,0.6424120869469477
339,tomas berdych,R,196.0,7.0,79.0,56.0,0.3977632947954386,0.289512627049559,0.4593076227569899,0.5911391351264769,0.8697196841063758,0.5870495629498854,46.49367088607595,0.6862796162737624
340,florian mayer,R,190.0,23.0,47.0,22.0,0.35351594190472935,0.21672727839215264,0.4013368428262045,0.4835844867133978,0.7738024384393487,0.6079654539772628,73.65957446808511,0.6415321850295345
342,dmitry tursunov,R,185.0,40.0,12.0,3.0,0.30929352145242406,0.10285547785547784,0.17857142857142858,0.5492063492063491,0.7894781144781144,0.6070794692246756,48.5,0.628677902971476
343,julien benneteau,R,185.0,52.0,50.0,27.0,0.38019853936786935,0.24829419142948556,0.42896173271173277,0.5291191863691863,0.7766365415630123,0.6566623060857641,74.04,0.6338526023821386
347,potito starace,R,188.0,58.0,26.0,8.0,0.335649021953336,0.15915240011899934,0.30343961593961594,0.49224312012773547,0.7446479717987816,0.7020636621444858,102.8076923076923,0.6206040420373877
348,juan monaco,R,185.0,26.0,55.0,37.0,0.43092932716103843,0.35741027918511736,0.4664103400586655,0.544299185662822,0.7623508142575127,0.6746397749440122,59.89090909090909,0.6232099566816273
349,philipp kohlschreiber,R,178.0,43.0,67.0,42.0,0.37371950677993904,0.23636696612333136,0.48193713417594025,0.655161567288433,0.8503978567038266,0.59865017293637,63.343283582089555,0.6730960011356509
350,nicolas almagro,R,183.0,10.0,75.0,53.0,0.37600691594511226,0.23310954716103457,0.3860953545365309,0.5293448773448772,0.8553010455579261,0.5694425833161936,63.10666666666667,0.6777104392397314
352,yen hsun lu,R,180.0,82.0,31.0,12.0,0.34446243781747765,0.1842398028306347,0.3889191453707583,0.5253857701438347,0.7506132756132756,0.6038547365765278,69.7741935483871,0.6259661176201314
354,ricardo mello,L,175.0,85.0,5.0,1.0,0.34358016844112504,0.15732323232323234,0.3509523809523809,0.4031746031746032,0.8007575757575758,0.6205553201880788,57.4,0.656425856878663
355,gilles muller,L,193.0,54.0,42.0,21.0,0.30831733877244755,0.1333197604482434,0.34707084854143677,0.5632838009247785,0.8584058422643854,0.6192170317940773,80.54761904761905,0.6885645485576444
356,nicolas mahut,R,190.0,80.0,34.0,16.0,0.329087289832461,0.1762576816685813,0.3613270308123249,0.6072561210719106,0.7914413416803692,0.6044845533380486,72.11764705882354,0.6376002594924879
357,gael monfils,R,193.0,16.0,31.0,20.0,0.39362969042110635,0.30007758686601194,0.46579562910208067,0.51825730720892,0.7709627664134306,0.6507961756301518,138.32258064516128,0.6233938894217457
361,guillermo garcia lopez,R,188.0,65.0,46.0,20.0,0.37644528462102445,0.24130599797184318,0.4043135005091527,0.5885500369196023,0.7152526178802429,0.5780899422199937,71.41304347826087,0.5982224466565207
364,janko tipsarevic,R,180.0,9.0,84.0,57.0,0.3795015623511825,0.2458737194832948,0.41503581775435083,0.5371865237936667,0.8261742000505267,0.5763263122517713,67.25,0.6666789919428635
365,marcos baghdatis,R,183.0,44.0,62.0,36.0,0.37726192945649845,0.24642958243527502,0.4233721580970156,0.54060695323844,0.8041978454011559,0.5507358557698735,58.20967741935484,0.6451097294129343
367,stan wawrinka,R,183.0,17.0,55.0,35.0,0.38574509497587744,0.2543690591704945,0.4685587659212519,0.6427006890910637,0.829146564385695,0.5642459422192069,53.38181818181818,0.6488511947093608
369,andreas seppi,R,190.0,38.0,61.0,36.0,0.38722282108478834,0.26852251020524887,0.4343318794138467,0.5473760890347197,0.7803990328218872,0.6169063345008411,55.39344262295082,0.6374281880548819
372,andy murray,R,190.0,4.0,76.0,60.0,0.42467890486367305,0.32889118664912403,0.4572650163820257,0.6217884622596818,0.8563419238935838,0.60519732082862,40.14473684210526,0.6785373919323396
375,novak djokovic,R,188.0,1.0,86.0,75.0,0.43917459888313837,0.36369838605060717,0.5006739061971619,0.5796476835977519,0.8836748715767184,0.6462467866466877,36.77906976744186,0.692695994804457
377,juan martin del potro,R,198.0,11.0,78.0,61.0,0.3957790834417786,0.2761472568279572,0.4295880433041066,0.595108097031174,0.874941441355345,0.6480487595610421,39.84615384615385,0.6826367149262109
380,gilles simon,R,183.0,12.0,68.0,43.0,0.4043890064442488,0.286210747599334,0.4123263446371713,0.5536140792042493,0.7740576312055778,0.5625521806450355,64.97058823529412,0.626611218043292
382,carlos berlocq,R,183.0,60.0,55.0,25.0,0.4021102541229796,0.30951236400841137,0.39275139299203465,0.4934423597792582,0.7132736010276117,0.659829168358314,65.16363636363636,0.6010370095035741
387,igor kunitsyn,R,180.0,71.0,23.0,4.0,0.3377191347807332,0.16598841979276763,0.44187135328439675,0.5333674779326952,0.6258753927232188,0.5970269892217747,75.0,0.5637302758437941
391,alejandro falla,L,185.0,74.0,40.0,15.0,0.36609187932346104,0.219595843970844,0.3866414141414142,0.47952411967117853,0.6851070538938184,0.6081336536943007,49.225,0.5896595179956491
397,sam querrey,R,198.0,93.0,60.0,36.0,0.3589464354232312,0.2030220404741706,0.4135661832720655,0.5097237253487255,0.8470897409942871,0.5756190202068721,56.0,0.6781165224215748
403,ernests gulbis,R,190.0,61.0,27.0,11.0,0.3374118238074002,0.18316977140506552,0.3883149772038661,0.5660078846353356,0.7880668822825688,0.581190278194841,101.07407407407408,0.6356254561825146
406,michael berrer,L,193.0,100.0,12.0,4.0,0.35454249238090196,0.17467218771566598,0.2797364672364672,0.5502136752136753,0.781085927960928,0.6671419375540303,46.0,0.6181673884270302
409,jo-wilfried tsonga,R,188.0,6.0,76.0,52.0,0.37730269749055606,0.24685852469276784,0.4294461021434706,0.618359232402128,0.8619544103873785,0.6231488042627389,55.0,0.6790095531144317
413,robin haase,R,190.0,45.0,44.0,17.0,0.36700182833020367,0.23078395349451497,0.3735381411517775,0.45038137367682823,0.7451170171925522,0.590521820323751,102.61363636363636,0.6181558736715723
414,steve darcis,R,178.0,88.0,36.0,19.0,0.3700333581271509,0.2170564575221438,0.3959947723653864,0.529835904835905,0.7729902432353414,0.6388199214282602,61.69444444444444,0.6301233929502197
415,fabio fognini,R,178.0,48.0,46.0,21.0,0.37925297315972334,0.2553370687993451,0.45251564115055165,0.5228785707046576,0.6729598199706894,0.6536774931935411,65.95652173913044,0.5806980230318028
416,marin cilic,R,198.0,21.0,58.0,39.0,0.4028277772475509,0.2840831558955024,0.4534966709535675,0.521699443931749,0.8006340163667749,0.5546604338424876,61.275862068965516,0.6416455153311442
417,marcel granollers,R,190.0,27.0,45.0,22.0,0.36791919965864134,0.22040525090473492,0.3239873815903564,0.4871633468202096,0.7102097042009322,0.6148357819277135,70.42222222222222,0.5952847681212153
418,thomaz bellucci,L,188.0,37.0,45.0,23.0,0.37828276434664465,0.23946719946719944,0.3975124124399488,0.5374262465929132,0.784321913995827,0.5688582573901505,61.28888888888889,0.6279333682886958
419,viktor troicki,R,193.0,22.0,54.0,26.0,0.3664390642276603,0.23421517953925358,0.3780497537441982,0.522511707294316,0.7223594431555099,0.6024027228947803,69.81481481481481,0.60379444909565
420,dudi sela,R,175.0,83.0,26.0,9.0,0.3666276475945089,0.20439222981643795,0.33222179404306096,0.5332551435492613,0.7119565609101807,0.6086061404854066,85.15384615384616,0.6053486330591796
421,john isner,R,206.0,18.0,60.0,41.0,0.3103843750604959,0.11322659882412202,0.3249999537499538,0.6599567099567099,0.9218582945467595,0.6830633616826969,68.43333333333334,0.7197626053274712
422,donald young,L,183.0,39.0,29.0,5.0,0.36477882385202465,0.19365253858154463,0.31516001465291527,0.5306208965464864,0.6154126468528092,0.6072581774727946,96.93103448275862,0.5500217768693638
423,kevin anderson,R,203.0,32.0,56.0,30.0,0.3476958471684812,0.17546835342528613,0.3474166706309564,0.616128762110905,0.847575373874444,0.6255271689748639,74.85714285714286,0.6713745743051345
425,philipp petzschner,R,185.0,63.0,24.0,8.0,0.3375409798439208,0.18675065974724966,0.41936605061605065,0.5412867483107421,0.7791563840748622,0.599850703117516,49.125,0.6244199246342594
426,kei nishikori,R,178.0,25.0,56.0,38.0,0.4095793812895005,0.3033037646876933,0.40081006332112024,0.5156314419707279,0.7863257148031585,0.6315309380017508,64.48214285714286,0.6378100272608874
429,pablo andujar,R,180.0,46.0,49.0,19.0,0.39403496378028485,0.2672556708643569,0.42149100592267336,0.4998904906617992,0.6551550267652497,0.5885799458203127,75.38775510204081,0.568177387101469
430,sergiy stakhovsky,R,193.0,62.0,40.0,12.0,0.3355535163792184,0.14563877110161935,0.3485882794106478,0.6143956025699446,0.7937330384756855,0.5949281614265431,89.175,0.6311657412777611
438,leonardo mayer,R,188.0,78.0,28.0,14.0,0.3296915980075794,0.18111039272168195,0.3523423005565863,0.5383961276818419,0.7993656627170561,0.5962404496386782,66.75,0.639638417651706
439,andreas beck,L,190.0,98.0,7.0,2.0,0.29355496305916795,0.12420436706150993,0.20918367346938777,0.4642857142857143,0.6346153846153847,0.5829112555560629,79.0,0.5293784542318732
442,denis istomin,R,188.0,73.0,60.0,29.0,0.3573003410425253,0.20493165725170367,0.3300203914019703,0.5670868020868021,0.807076983474042,0.6391460558414898,56.483333333333334,0.6465549356117588
448,adrian mannarino,L,183.0,87.0,6.0,1.0,0.3145349017495756,0.14096378767431397,0.26794871794871794,0.39173789173789175,0.6212962962962962,0.6294347784745521,60.833333333333336,0.5820385693121615
451,flavio cipolla,R,173.0,75.0,40.0,16.0,0.39699698662510985,0.27799578591698154,0.4115594474969475,0.5076372143060123,0.6284451659451662,0.7029139784660593,118.475,0.5668156792795653
456,lukasz kubot,R,190.0,57.0,50.0,22.0,0.37044914256350764,0.24323418738124622,0.3838574203574205,0.54011901986902,0.751530747030747,0.617720001768433,80.88,0.6138847921509677
458,santiago giraldo,R,188.0,55.0,39.0,18.0,0.3517695623421383,0.21395057933519468,0.352075038559916,0.6046442873365951,0.7913869961946887,0.6558015396572774,84.0,0.6284524932617561
460,alexandr dolgopolov,R,180.0,15.0,61.0,35.0,0.37465425970637617,0.23957262897241685,0.40231827531731085,0.5315271566162515,0.797884932292383,0.537171171527169,50.40983606557377,0.6496291331407426
461,blaz kavcic,R,188.0,92.0,16.0,3.0,0.35547704825001963,0.21355973479135243,0.4070917164452633,0.45766924048174046,0.6111971361971362,0.5702048724356231,91.0,0.5609437913483923
462,pere riba,R,183.0,89.0,8.0,1.0,0.30161755662346523,0.10163690476190476,0.2007034632034632,0.39062499999999994,0.5099511599511599,0.5364382856376655,88.25,0.5103324658159946
465,tobias kamke,R,180.0,96.0,25.0,6.0,0.4060080300363324,0.2817713397713398,0.37579754885637234,0.47084848484848485,0.6158116367860614,0.5790346854864521,76.64,0.5506812031948961
466,mikhail kukushkin,R,183.0,91.0,24.0,10.0,0.35731731314499987,0.22119092712842714,0.40703500203500204,0.4954882501757501,0.6604726292226292,0.5889241682577705,55.708333333333336,0.5715792890602819
467,somdev devvarman,R,180.0,84.0,3.0,0.0,0.2895922270259492,0.1574074074074074,0.5555555555555555,0.5671296296296297,0.4953703703703704,0.6563132945485887,47.0,0.47249515190691654
470,ivan dodig,R,183.0,36.0,40.0,15.0,0.35492148875723517,0.18629825648207998,0.3126109307359307,0.5692257742257744,0.7164511264878912,0.5697059403403044,64.125,0.6089121522401386
471,rui machado,R,178.0,68.0,14.0,1.0,0.35385911912916457,0.17010034895979592,0.39004329004329,0.461976911976912,0.5929189857761286,0.6660555066313892,103.07142857142857,0.5269959965140906
472,milos raonic,R,196.0,31.0,63.0,42.0,0.34379705798298194,0.1798675402392976,0.4228045763760048,0.578041469112898,0.9289251932520749,0.6126483913648799,58.095238095238095,0.7325233671598288
473,grigor dimitrov,R,188.0,76.0,48.0,28.0,0.3556870079821696,0.2088086686272428,0.3897110990860991,0.6333550902244957,0.8187798992946052,0.6218393938001446,49.1875,0.6592469635963462
474,ryan sweeting,R,196.0,72.0,18.0,7.0,0.3489211175356366,0.20981088746434015,0.4018518518518518,0.6102869352869352,0.82503402729852,0.5774530071689727,41.77777777777778,0.6526718121425824
475,matthias bachinger,R,188.0,94.0,23.0,8.0,0.3402127711058519,0.171867263171611,0.30493516145690064,0.5407368633071957,0.7515211238037326,0.5730013791890016,73.6086956521739,0.6185235147559246
478,alex bogomolov jr,R,178.0,34.0,40.0,12.0,0.3645081426820986,0.2123220692705987,0.3525765900765901,0.5449341311638138,0.6894992582013043,0.7045957123702766,72.175,0.5872619157056811
479,albert ramos,L,188.0,66.0,55.0,24.0,0.38398979035247227,0.2437256732391584,0.42068643477734385,0.5720283905043264,0.7359246028109145,0.5882262305247726,70.89090909090909,0.6034484469802911
480,lukas rosol,R,196.0,70.0,36.0,17.0,0.33094002507395126,0.16777617444284115,0.40819534042573263,0.5941737093697879,0.7910785433702101,0.5843299123039561,51.888888888888886,0.6383214109909319
481,ryan harrison,R,183.0,79.0,45.0,22.0,0.34527609631177036,0.18553714154591347,0.3650186233519567,0.5959018759018758,0.812538723268857,0.6172267491967359,74.71111111111111,0.646193365966795
482,bernard tomic,R,193.0,42.0,48.0,22.0,0.3492793230780213,0.1904007209787976,0.3219358477170977,0.5492013637234224,0.7583382955480481,0.6608063771239735,59.916666666666664,0.6153453051758668
484,eric prodon,R,178.0,97.0,5.0,0.0,0.32037876835318196,0.1216666666666667,0.2552380952380952,0.5366666666666667,0.5549999999999999,0.5998093437324721,69.6,0.5286092287533632
486,cedrik marcel stebe,L,183.0,81.0,23.0,8.0,0.36634063312073734,0.2089024470317377,0.3432103276093046,0.5654058628887005,0.6953485641801701,0.6169865845781899,62.08695652173913,0.57640428248219
487,matthew ebden,R,188.0,86.0,39.0,15.0,0.34223376933801025,0.17479315556238634,0.3050616050616051,0.4977128266095877,0.6984289717321394,0.6181164907501137,85.66666666666667,0.5954239810162619
488,benoit paire,R,196.0,95.0,55.0,28.0,0.39965352844239665,0.27571370162814013,0.39303520454589963,0.5317840492840493,0.732965386366456,0.5187837980049795,62.07272727272727,0.6054341636208892
